,material,cond,expt,var_feature1,var_feature2,var_feature3,var_feature4,answer_text,user_id,best_ans,value,best_senti,best_obj,pos,neg,neither,resolve,goal_obj,non_goal_obj,neither_obj,both_objs
21,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,"he obviously arrived on time to the airport so the only time a bad or unexpected event could occur is on the plane or on arrival to new york.  In extreme case the plane could go down, or his luggage did not arrive, assuming the magazine was relevant to his visit, this could mean he was a photographer and his equipment didnt arrive thus not being able to complete his purpose of travel?",5b28d41f8ecf3f000161c585,ap_neg_ans1,1,neg,both_objects,0,1,0,0,0,0,0,1
22,alan_plane,3B(2),expt2,UNEXP-BAD,bizarre,control,goal,He realises that he is missing a bag that he had put his magazine in and cant remember the name of the taxi company,5ae3186f2c7a6f0001e6,ap_neg_ans1,1,neg,both_objects,0,1,0,0,0,0,0,1
23,alan_plane,5D,expt2,UNEXP,normal,reverse,goal,Alan's bags are too big to go onto the plane and he gets into an argument with the person at the departure desk,5b33717d975e260001e98a2e,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
24,alan_plane,5C,expt2,UNEXP,normal,control,goal,they are overweight,589be0e28bf22a00015b79bd,ap_neg_ans1,1,neg,neither_object,0,1,0,0,0,0,1,0
25,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,The airport loses his luggage ,charlescsimpson95@gmail.com,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
26,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,he receives his bags on arrival but they are filled with another person's belongings,59762c0f5482e5000162587e,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
27,alan_plane,2.2RA,expt2,UNEXP-GOOD,bizarre,reverse,goal,"His bags are put on the wrong plane, but end up at the same destination as he does anyway. ",5afafdf27245f60001157545,ap_neg_ans1,1,neither,goal_object,0,0,1,0,1,0,0,0
28,alan_plane,5A1,expt2,UNEXP,bizarre,control,non-goal,His bag is lost in transit.,5b59130fdb94af00013943e0,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
29,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,His bags are overweight.,5a5e885cf6c517000195424d,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
30,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,He doesn't have his bags.,5b2834ed7da9a90001a3c5e5,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
31,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,he loses his baggage,5b472672d4c93b00019bbc49,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
32,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,Alan's bags are lost in transit,59c2c06d5c50560001df98e0,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
33,alan_plane,5D,expt2,UNEXP,normal,reverse,goal,alan lost his bags,willo90@hotmail.com,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
34,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,The airport lost one of his bags,5728219fc68b5a000f39800b,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
35,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,The airport lost his bags.  They weren't able to get them to him until days after he arrived in New York.,5a9342906219a30001d2f220,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
36,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,His bag is over the weight limit but he is able to transfer some of his luggage into hand luggage so he doesn't have to pay a fee,5b1d6ad03522660001b44492,ap_neg_ans1,1,pos,goal_object,1,0,0,0,1,0,0,0
37,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,"Alan realizes he forgot his tickets, ID and passport at home and his plane takes off in less than an hour meaning that he doesn't have time to run home, get his tickets and identification and make his flight.",5b20a5f9c9d3cb0001109219,ap_neg_ans2,1,neg,goal_object,0,1,0,0,1,0,0,0
38,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,He finds out he is booked on the wrong flight.,5720b0c5fd3a5200133c8909,ap_neg_ans2,1,neg,goal_object,0,1,0,0,1,0,0,0
39,alan_plane,5C3,expt2,UNEXP,bizarre,control,goal,Alan is unable to proceed because his tickets have been sold to someone else.,59ac8dcc0acd5600012ec039,ap_neg_ans2,1,neg,neither_object,0,1,0,0,0,0,1,0
40,alan_plane,5D,expt2,UNEXP,normal,reverse,goal,he has forgotten his passport,5b491ed8494f330001a0c0bc,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
41,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,and then loses his passport ,599968bcb5566b0001aa8494,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
42,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,Alan forgets his passport and has to call his Mum to bring it to him. He rearranges the flight and no serious drama ensues.,570b82b1b9b52b000f2d5304,ap_neg_ans3,1,neg,goal_object,0,1,0,0,1,0,0,0
43,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,he can't find his passport,5b1d911dbdf4e10001638f16,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
44,alan_plane,5C3,expt2,UNEXP,bizarre,control,goal,And realises that he forgot his passport,567089b973f58b000566419f,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
45,alan_plane,5C,expt2,UNEXP,normal,control,goal,He forgot his passport,582349704b0abd00015fc6b1,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
46,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,Alan realises he has forgotten his passport and toothbrush.,5601bbdae372c00011bd3b71,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
47,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,"His ID is at home, he will have to miss his flight.",5b2032364c72120001f25051,ap_neg_ans3,1,neg,goal_object,0,1,0,0,1,0,0,0
48,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,hes forgot his passport,590d07f41211f9000142af0f,ap_neg_ans3,1,neg,neither_object,0,1,0,0,0,0,1,0
49,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,He sees a photograph in the magazine that he has taken but didnt know had been used,5b3747b0dd6af000014cd504,ap_neg_ans4,1,neither,non_goal_object,0,0,1,0,0,1,0,0
50,alan_plane,5D,expt2,UNEXP,normal,reverse,goal,Someone had drawn beards on all of the people in the photography magazine.,5a933aad4eecca0001dd2a48,ap_neg_ans4,1,neither,non_goal_object,0,0,1,0,0,1,0,0
51,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,He bought the wrong magazine and it was an adult magazine,5b28cfc7a073520001c2f149,ap_neg_ans4,1,neg,non_goal_object,0,1,0,0,0,1,0,0
52,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,"He left his magazine in the taxi, depriving him of nice reading on the plane.",5aa684e96219a30001c75c0d,ap_neg_ans4,1,neg,both_objects,0,1,0,0,0,0,0,1
53,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,He accidentally checks in his magazine at the departure desk ,5b25abdb007d870001c7b29f,ap_neg_ans4,1,neg,both_objects,0,1,0,0,0,0,0,1
54,alan_plane,5D,expt2,UNEXP,normal,reverse,goal,Alan remembers he forgot to pack his camera and in his panic he misses the announcement to board the plane,59e752a3e75da00001e84c5a,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
55,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,Alan's taxi is delayed,591f429240c1b400019a2c5e,ap_neg_ans5,1,neg,non_goal_object,0,1,0,0,0,1,0,0
56,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,he misses his plane,561d98e03d7fe8000b0f5e09,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
57,alan_plane,3B(2),expt2,UNEXP-BAD,bizarre,control,goal,"Alan didn't double check his flight time, and shows up an hour after boarding. He ends up missing his flight.",5afaa39957516b00014163b1,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
58,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,he has missed his flight,irateelf@gmail.com,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
59,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,The taxi gets in an accident and he misses his flight,5affe376a496b300013d3ba8,ap_neg_ans5,1,neg,both_objects,0,1,0,0,0,0,0,1
60,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,He is late for his flight?,59e0d7d6ac0af70001b365b4,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
61,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,"The departure gate for Alan's flight has changed, but he hasn't noticed - he's too distracted by his fantasies of giving up work and becoming a freelance flamingo photographer. He boards the plane and ends up in Colombia.",5b28d18b007d870001c80b4b,ap_neg_ans5,1,neg,both_objects,0,1,0,0,0,0,0,1
62,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,He gets on the wrong plane,599786366b939900012da0d2,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
63,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,He misses his flight,5b032488c573030001c369eb,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
64,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,The flight has already left.,55ddb84550a1f7000b90d65a,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
65,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,the taxi takes him to the wrong location and he misses his flight,5b299dcc0ec82d0001d264b5,ap_neg_ans5,1,neg,both_objects,0,1,0,0,0,0,0,1
66,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,He's missed his flight,59686a35d0464f00019818ca@email.prolific.ac,ap_neg_ans5,1,neg,goal_object,0,1,0,0,1,0,0,0
67,alan_plane,5C,expt2,UNEXP,normal,control,goal,The plane stopped at Pittsberg en route to New York.,5af344d06d88130001fe4728,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
68,alan_plane,5D4,expt2,UNEXP,bizarre,reverse,goal,Alan's flight is cancelled ,5b504788c3e02b0001d4a893,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
69,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,All planes were grounded following a cloud of volcanic ash lingering in the air,56c6f9efb0b7a1000c5d12d7,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
70,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,Alan's plane crashes,5b29018c107461000113ea60,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
71,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,The plane unexpectedly goes to Abu Dhabi.,5a67736c31b87a0001c736dd,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
72,alan_plane,3B(2),expt2,UNEXP-BAD,bizarre,control,goal,The plane was delayed ,597122f66c75db0001fea7c1,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
73,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,"The plane's landing gear fails, causing the plane to crash directly into the main area of the airport. ",5b19a68244127b00013fb081,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
74,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,The plane gets cancelled.,5aeade84f00c7f00018f7807,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
75,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,The plane is hijacked and taken somewhere else,5b58ac19cc955100011cf849,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
76,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,His plane is delayed,5b1d303d3522660001b43e37,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
77,alan_plane,5C,expt2,UNEXP,normal,control,goal,The flight is delayed,5af56a17e066a400011330df,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
78,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,Plane cancelled,56ae76de322d76000d993751,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
79,alan_plane,5A,expt2,UNEXP,normal,control,non-goal,the flight is delayed,5b55aae38d49da0001ea2bf5,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
80,alan_plane,5C,expt2,UNEXP,normal,control,goal,the flight is delayed,5b4f382f37f7a4000131a581,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
81,alan_plane,5D4,expt2,UNEXP,bizarre,reverse,goal,The plane crash landed on the runway preventing Alan from boarding his flight.,5b4b43df9402080001632b57,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
82,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,The plane is delayed,5add9fb6dee8590001b0330c,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
83,alan_plane,3RB,expt2,UNEXP-BAD,normal,reverse,goal,He was told that the flight had been delayed due to another flight that had just arrived and crashed onto the runway ,5b27b5ca58ea7a0001185969,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
84,alan_plane,5D4,expt2,UNEXP,bizarre,reverse,goal,all flights are cancelled suddenly,597e36295ea29d000126ff26,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
85,alan_plane,5C,expt2,UNEXP,normal,control,goal,His plan has been cancelled. ,5b4e0e7cdec669000153b7aa,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
86,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,Perhaps his flight was delayed although this may not exactly be classified as unexpected!,5821e8579b80f50001ba21bd,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
87,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,Flight cancellation,5921c56653cb680001205679,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
88,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,The plane crashes and he dies.,5a5c0728ac5624000153f533,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
89,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,the plane gets delayed,5a21831befec480001f298a2,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
90,alan_plane,5A1,expt2,UNEXP,bizarre,control,non-goal,I think Alan's flight got delayed ,5a614757c0d836000107919f,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
91,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,His flight was cancelled.,5b2036189aabd400018bda28,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
92,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,his flight is cancelled,5b1bcd1d88ee7400012b0707,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
93,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,his plane was cancelled.,5b2507887f7816000145f9c1,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
94,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,The plane crashes.,5b0b1013641b1200010ec43b,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
95,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,"Soon after takeoff, there is a loud noise on the plane. An engine has exploded and shrapnel has come through the window, killing the person sitting next to him. People are screaming as Bob tries to avoid getting sucked out the window.",571c09046b08940011631a7f,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
96,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,his plane is delayed,5b01065e331e8100018f2b66,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
97,alan_plane,5C,expt2,UNEXP,normal,control,goal,The flight is cancelled because of a terrorist attack.,5a8d00278fe2dc000106455e,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
98,alan_plane,5D4,expt2,UNEXP,bizarre,reverse,goal,Alan's Plane is delayed something so bizarre at an airport these days lol!,5b4912b78ee02300018a7539,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
99,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,Bad weather no flights ,5b2080585e45c000012ab9bc,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
100,alan_plane,5B2,expt2,UNEXP,bizarre,reverse,non-goal,The plane is cancelled,5b5896dc4f5ac5000192f36a,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
101,alan_plane,5C3,expt2,UNEXP,bizarre,control,goal,The flight is delayed for 4 hours.,5711089f52ab8e0011d08d03,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
102,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,I believe that Alan's plane got delayed and so he will be stuck at the airport longer than intended.,5b2821d97297750001c72fe1,ap_neg_ans6,1,neg,goal_object,0,1,0,0,1,0,0,0
103,alan_plane,2AR,expt2,UNEXP-GOOD,normal,reverse,non-goal,The airline decided to reward him for being a loyal customer and told him there was no charge to check his bags for the flight.,5a552be98e6259000175a388,ap_pos_ans1,1,pos,goal_object,1,0,0,0,1,0,0,0
104,alan_plane,3B(2),expt2,UNEXP-BAD,bizarre,control,goal,The lady behind him offers to pay for his bag fee.,5b1f2d283522660001b46c87,ap_pos_ans1,1,pos,goal_object,1,0,0,0,1,0,0,0
105,alan_plane,2AR,expt2,UNEXP-GOOD,normal,reverse,non-goal,Alan is able to check his bags for free because of an airlines promotion. ,56c9b9ce10a82f000cffd262,ap_pos_ans1,1,pos,goal_object,1,0,0,0,1,0,0,0
106,alan_plane,2.2RA,expt2,UNEXP-GOOD,bizarre,reverse,goal,The airline didn't charge him for the bags but still delivered them safely to his destination,5b28bf448ecf3f000161c374,ap_pos_ans1,1,pos,goal_object,1,0,0,0,1,0,0,0
107,alan_plane,2A,expt2,UNEXP-GOOD,normal,control,non-goal,He is being upgraded to first class,5b1faa1354eabf00013e67ec,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
108,alan_plane,2AR,expt2,UNEXP-GOOD,normal,reverse,non-goal,He got upgraded ,5a8ddc98eea3d300016ebe98@email.prolific.ac,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
109,alan_plane,2B(2),expt2,UNEXP-GOOD,bizarre,control,goal,the plane was full so he got bumped up to business class,5b032c19afa8970001fb8690,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
110,alan_plane,2.2RA,expt2,UNEXP-GOOD,bizarre,reverse,goal,He gets a first class seat,5acbd7530527ba0001c265e7,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
111,alan_plane,5A,expt2,UNEXP,normal,control,non-goal,As Alan boards the plane he is pulled to one side by the stewardess and told that there is availability in first class and that he is being upgraded free of charge.,5b4f1e9960e0c700010dd2f7,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
112,alan_plane,2B(2),expt2,UNEXP-GOOD,bizarre,control,goal,"Alan receives a free upgrade to first class while checking in, and finds he is seated next to a world-renowned photographer he just read about in the magazine.",5892256be6393500019e16a9,ap_pos_ans2,1,pos,both_objects,1,0,0,0,0,0,0,1
113,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,there is no line at check in which is good. he gets upgraded to first class unexpectedly. Bizzarley there is no line at security ,5b1e52f044127b0001400318,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
114,alan_plane,2.2RA,expt2,UNEXP-GOOD,bizarre,reverse,goal,"At the airport, he somehow gets an upgrade to Business Class as he had checked into the Premium Economy Class and above queue to avoid the long queue for the Economy. ",5ad3fc75b02aca00012739b4,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
115,alan_plane,2B,expt2,UNEXP-GOOD,normal,control,goal,Alan gets upgraded for his flight when he checks in his bags at the desk.,59b27b8b2a78fd00010b8403,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
116,alan_plane,2B,expt2,UNEXP-GOOD,normal,control,goal,He gets upgraded to fly first class,5b1efc25bdf4e1000163af46,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
117,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,He gets upgraded to first class free of charge. ,5b1e79fa2767e20001e53f1b,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
118,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,Alan is upgraded to first class and given free lounge access.,5b171d3a4c72120001f1a5f6,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
119,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,He gets his plane upgraded. ,597ee20f1bbd8b0001a1adf4,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
120,alan_plane,2A(2),expt2,UNEXP-GOOD,bizarre,control,non-goal,Alan's identity is mistaken for a famous celebrity and they upgrade him to a private jet. ,5b1e828e2767e20001e53fdc,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
121,alan_plane,2BR,expt2,UNEXP-GOOD,normal,reverse,goal,"When Alan gets on the plane, he is upgraded to First Class and has an amazing journey.",59d5f2a4078dbe00019513cc,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
122,alan_plane,5A,expt2,UNEXP,normal,control,non-goal,he is upgraded to first class,57934ab24d107800016dc975,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
123,alan_plane,2AR,expt2,UNEXP-GOOD,normal,reverse,non-goal,he is offered an upgrade to first class for free,5a80ac39b093f80001a7af17,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
124,alan_plane,2BR,expt2,UNEXP-GOOD,normal,reverse,goal,He was upgraded to business class,5afd6c7258c2c100012d238b,ap_pos_ans2,1,pos,neither_object,1,0,0,0,0,0,1,0
125,alan_plane,2.2RA,expt2,UNEXP-GOOD,bizarre,reverse,goal,The staff at check in upgrade him to first class when they see his magazine ,59a772cd1363d90001676936,ap_pos_ans2,1,pos,non_goal_object,1,0,0,0,0,1,0,0
126,alan_plane,2B(2),expt2,UNEXP-GOOD,bizarre,control,goal,He is upgraded to first class after a mix up at the ticket desk. ,5b1c014b0b5cc00001e2e52e,ap_pos_ans2,1,pos,goal_object,1,0,0,0,1,0,0,0
